ar_coefficients,repetition,horizon,method,error
0.7,48,0,flattened_forecast_error,45.05289005575013
0.7,48,1,flattened_forecast_error,26.452019793086393
0.7,49,0,flattened_forecast_error,67.53080573538641
0.7,49,1,flattened_forecast_error,57.15996457427659
0.9,0,0,flattened_forecast_error,56.381932339944974
0.9,0,1,flattened_forecast_error,49.00757469083919
0.9,1,0,flattened_forecast_error,74.74565758388455
0.9,1,1,flattened_forecast_error,84.8117998920597
0.9,2,0,flattened_forecast_error,84.54247994055589
0.9,2,1,flattened_forecast_error,90.0486534097837
0.9,3,0,flattened_forecast_error,72.97246103543645
0.9,3,1,flattened_forecast_error,71.76956401565073
0.9,4,0,flattened_forecast_error,15.860090052528067
0.9,4,1,flattened_forecast_error,13.988957728439553
0.9,5,0,flattened_forecast_error,40.48903027459557
0.9,5,1,flattened_forecast_error,34.030770453000216
0.9,6,0,flattened_forecast_error,83.75315774820164
0.9,6,1,flattened_forecast_error,141.1522105942381
0.9,7,0,flattened_forecast_error,93.19450782675744
0.9,7,1,flattened_forecast_error,62.38245819657224
0.9,8,0,flattened_forecast_error,46.819632312872535
0.9,8,1,flattened_forecast_error,49.912730204676954
0.9,9,0,flattened_forecast_error,18.843998953210903
0.9,9,1,flattened_forecast_error,42.07808705356394
0.9,10,0,flattened_forecast_error,116.07527316405816
0.9,10,1,flattened_forecast_error,90.73083187491225
0.9,11,0,flattened_forecast_error,68.81405072108512
0.9,11,1,flattened_forecast_error,4.617298860676964
0.9,12,0,flattened_forecast_error,78.45074413914453
0.9,12,1,flattened_forecast_error,70.26855603404613
0.9,13,0,flattened_forecast_error,28.966500205063667
0.9,13,1,flattened_forecast_error,43.08908224864405
0.9,14,0,flattened_forecast_error,49.65145027945897
0.9,14,1,flattened_forecast_error,73.06192262338145
0.9,15,0,flattened_forecast_error,68.95517112612907
0.9,15,1,flattened_forecast_error,79.50351509202655
0.9,16,0,flattened_forecast_error,198.5634277201833
0.9,16,1,flattened_forecast_error,177.96182827279745
0.9,17,0,flattened_forecast_error,18.60655756972654
0.9,17,1,flattened_forecast_error,17.33691083375463
0.9,18,0,flattened_forecast_error,48.35473215902491
0.9,18,1,flattened_forecast_error,72.63708756090631
0.9,19,0,flattened_forecast_error,198.396801931813
0.9,19,1,flattened_forecast_error,175.1101114942721
0.9,20,0,flattened_forecast_error,90.4956434791337
0.9,20,1,flattened_forecast_error,140.94378620290175
0.9,21,0,flattened_forecast_error,144.47168446779744
0.9,21,1,flattened_forecast_error,107.21743166646684
0.9,22,0,flattened_forecast_error,12.680254394632197
0.9,22,1,flattened_forecast_error,23.412819029301502
0.9,23,0,flattened_forecast_error,79.62707699992889
0.9,23,1,flattened_forecast_error,95.06065695309691
0.9,24,0,flattened_forecast_error,156.46955258399333
0.9,24,1,flattened_forecast_error,117.7354602657812
0.9,25,0,flattened_forecast_error,64.85144595243816
0.9,25,1,flattened_forecast_error,58.6279367857135
0.9,26,0,flattened_forecast_error,32.8707905363014
0.9,26,1,flattened_forecast_error,52.16577022607868
0.9,27,0,flattened_forecast_error,43.186836286124375
0.9,27,1,flattened_forecast_error,30.688248273120582
0.9,28,0,flattened_forecast_error,164.53931224435445
0.9,28,1,flattened_forecast_error,133.94764160822658
